Timestamp,Interface,Action,Temperature,Elapsed Time
2024-08-03T18:00:29.828527,Audio,Play 17wSTKnob.mp3,28,2.553520441055298
2024-08-03T18:00:52.858757,Audio,Play 23wIFTouch.mp3,28,25.58375120162964
2024-08-03T18:01:04.403508,Audio,Play 17wSTKnob.mp3,28,37.12850260734558
2024-08-03T18:01:07.931604,Steering Wheel Knob,Change Temperature,29,40.65659856796265
2024-08-03T18:01:08.243442,Steering Wheel Knob,Change Temperature,30,40.96843719482422
2024-08-03T18:01:09.410737,Steering Wheel Knob,Change Temperature,29,42.13573241233826
2024-08-03T18:01:09.480771,Steering Wheel Knob,Change Temperature,28,42.2057626247406
2024-08-03T18:01:09.883047,Steering Wheel Knob,Change Temperature,27,42.60804224014282
2024-08-03T18:01:10.054029,Steering Wheel Knob,Change Temperature,26,42.77902412414551
2024-08-03T18:01:10.385995,Steering Wheel Knob,Change Temperature,25,43.11099028587341
2024-08-03T18:01:15.290401,Steering Wheel Knob,Change Temperature,26,48.015395164489746
2024-08-03T18:01:15.360548,Steering Wheel Knob,Change Temperature,27,48.08554244041443
2024-08-03T18:01:15.473414,Steering Wheel Knob,Change Temperature,28,48.19840955734253
2024-08-03T18:01:16.146203,Steering Wheel Knob,Change Temperature,29,48.87119793891907
2024-08-03T18:01:16.259626,Steering Wheel Knob,Change Temperature,30,48.98462152481079
2024-08-03T18:01:17.074625,Steering Wheel Knob,Change Temperature,30,49.79962134361267
2024-08-03T18:01:17.149994,Steering Wheel Knob,Change Temperature,30,49.87498950958252
2024-08-03T18:01:17.882340,Steering Wheel Knob,Change Temperature,29,50.607335567474365
2024-08-03T18:01:17.967500,Steering Wheel Knob,Change Temperature,28,50.692495822906494
2024-08-03T18:01:18.210292,Steering Wheel Knob,Change Temperature,27,50.93528723716736
2024-08-03T18:01:18.259083,Steering Wheel Knob,Change Temperature,26,50.984078884124756
2024-08-03T18:01:18.300680,Steering Wheel Knob,Change Temperature,25,51.025676012039185
2024-08-03T18:01:18.705272,Steering Wheel Knob,Change Temperature,24,51.430267572402954
2024-08-03T18:01:18.736497,Steering Wheel Knob,Change Temperature,23,51.46149158477783
2024-08-03T18:01:23.939372,Steering Wheel Knob,Change Temperature,24,56.664366722106934
2024-08-03T18:01:23.978071,Steering Wheel Knob,Change Temperature,25,56.703065633773804
2024-08-03T18:01:24.139367,Steering Wheel Knob,Change Temperature,24,56.86436223983765
2024-08-03T18:01:24.178172,Steering Wheel Knob,Change Temperature,23,56.903167963027954
2024-08-03T18:01:26.845447,Raspberry Pi Touch,Change Temperature,22,59.57044172286987
2024-08-03T18:01:27.263178,Raspberry Pi Touch,Change Temperature,21,59.98817276954651
2024-08-03T18:01:27.534775,Raspberry Pi Touch,Change Temperature,20,60.259770154953
2024-08-03T18:01:27.636557,Raspberry Pi Touch,Change Temperature,19,60.361552238464355
2024-08-03T18:01:28.642323,Steering Wheel Knob,Change Temperature,20,61.36731767654419
2024-08-03T18:01:29.546268,Steering Wheel Knob,Change Temperature,19,62.271262884140015
2024-08-03T18:01:33.522340,Steering Wheel Knob,Change Temperature,20,66.24733471870422
2024-08-03T18:01:33.568230,Steering Wheel Knob,Change Temperature,21,66.29322552680969
2024-08-03T18:01:33.628121,Steering Wheel Knob,Change Temperature,22,66.35311627388
2024-08-03T18:01:33.921062,Steering Wheel Knob,Change Temperature,23,66.64605760574341
2024-08-03T18:01:33.941779,Steering Wheel Knob,Change Temperature,24,66.66677498817444
2024-08-03T18:01:33.968846,Steering Wheel Knob,Change Temperature,25,66.69384241104126
2024-08-03T18:01:34.081493,Steering Wheel Knob,Change Temperature,24,66.80648875236511
