Timestamp,Interface,Action,Temperature,Elapsed Time
2024-08-09T16:07:59.919610,Audio,Play t24.mp3,15,41.386077642440796
2024-08-09T16:08:06.183042,Steering Wheel Touch,Change Temperature,16,47.64950966835022
2024-08-09T16:08:06.675227,Steering Wheel Touch,Change Temperature,17,48.14169502258301
2024-08-09T16:08:07.106979,Steering Wheel Touch,Change Temperature,18,48.573447465896606
2024-08-09T16:08:13.012483,Steering Wheel Touch,Change Temperature,19,54.4789514541626
2024-08-09T16:08:13.940247,Steering Wheel Touch,Change Temperature,20,55.40671515464783
2024-08-09T16:08:14.444694,Steering Wheel Touch,Change Temperature,21,55.911163330078125
2024-08-09T16:08:15.117460,Steering Wheel Touch,Change Temperature,22,56.58392882347107
2024-08-09T16:08:15.408302,Steering Wheel Touch,Change Temperature,23,56.874770402908325
2024-08-09T16:08:15.894159,Steering Wheel Touch,Change Temperature,24,57.36062812805176
2024-08-09T16:08:20.098265,Audio,Play t18.mp3,24,61.5647337436676
2024-08-09T16:08:23.185058,Steering Wheel Touch,Change Temperature,23,64.65152740478516
2024-08-09T16:08:25.633719,Steering Wheel Touch,Change Temperature,22,67.10018873214722
2024-08-09T16:08:26.133729,Steering Wheel Touch,Change Temperature,21,67.60019779205322
2024-08-09T16:08:26.363520,Steering Wheel Touch,Change Temperature,20,67.82998895645142
2024-08-09T16:08:26.756405,Steering Wheel Touch,Change Temperature,19,68.22287368774414
2024-08-09T16:08:27.574646,Steering Wheel Touch,Change Temperature,18,69.0411148071289
2024-08-09T16:09:17.545804,Audio,Play t29.mp3,18,119.01227283477783
2024-08-09T16:09:19.544370,Audio,Play t29.mp3,18,121.01083850860596
2024-08-09T16:09:20.722783,Audio,Play t30.mp3,18,122.18925189971924
2024-08-09T16:09:22.261588,Audio,Play t30.mp3,18,123.72805643081665
2024-08-09T16:09:22.471782,Audio,Play t30.mp3,18,123.93825101852417
2024-08-09T16:09:23.909661,Audio,Play t26.mp3,18,125.3761293888092
2024-08-09T16:09:24.012391,Audio,Play t26.mp3,18,125.4788601398468
2024-08-09T16:09:24.213053,Audio,Play t26.mp3,18,125.67952227592468
2024-08-09T16:09:25.337849,Audio,Play t17.mp3,18,126.80431842803955
2024-08-09T16:09:34.435489,Audio,Play t29.mp3,18,135.90195655822754
2024-08-09T16:09:34.644745,Audio,Play t29.mp3,18,136.11121320724487
2024-08-09T16:09:35.072304,Audio,Play t29.mp3,18,136.53877305984497
